,Unnamed: 0,inflation,unemployment,tbill,natsales,unempl_pct_chg,infl_pct_chg,tbill_pct_chg,natsales_pct_chg
0,2017-01,0.0053,0.048,0.0089,40364.0,,,,
1,2017-02,0.0053,0.047,0.0083,37891.0,,,,
2,2017-03,0.0053,0.045,0.0092,44061.0,,,,
3,2017-04,0.0052,0.044,0.0102,41275.0,,,,
4,2017-05,0.0052,0.043,0.0108,44373.0,,,,
5,2017-06,0.0051,0.043,0.0116,43294.0,,,,
6,2017-07,0.0051,0.043,0.0124,42584.0,,,,
7,2017-08,0.0051,0.044,0.0122,44733.0,,,,
8,2017-09,0.0051,0.041,0.0124,42021.0,,,,
9,2017-10,0.005,0.041,0.013,43925.0,,,,
10,2017-11,0.0047,0.041,0.0145,55215.0,,,,
11,2017-12,0.0046,0.041,0.0161,67076.0,-0.14583333333333337,-0.13207547169811318,0.8089887640449438,0.661777821821425
12,2018-01,0.0047,0.041,0.0189,,-0.12765957446808507,-0.1132075471698113,1.2771084337349397,
