Date,Inflation Rate,Unemployment Rate,10 Year Tbill Rate,E-Commerce
2006/01/01,0.0076,0.047,0.0442,15811
2006/02/01,0.002,0.048,0.0457,14531
2006/03/01,0.0055,0.047,0.0473,17046
2006/04/01,0.0085,0.047,0.0499,15024
2006/05/01,0.005,0.046,0.0511,16071
2006/06/01,0.002,0.046,0.0511,15795
2006/07/01,0.003,0.047,0.0509,14768
2006/08/01,0.002,0.047,0.0487,16897
2006/09/01,-0.0049,0.045,0.0472,16050
2006/10/01,-0.0054,0.044,0.0473,17497
2006/11/01,-0.0015,0.045,0.046,19037
2006/12/01,0.0015,0.044,0.0457,23724
2007/01/01,0.0031,0.046,0.0476,17664
2007/02/01,0.0054,0.045,0.0472,18090
2007/03/01,0.0091,0.044,0.0456,18259
2007/04/01,0.0065,0.045,0.0469,18143
2007/05/01,0.0061,0.044,0.0475,18440
2007/06/01,0.0019,0.046,0.0511,18546
2007/07/01,-0.0003,0.047,0.05,18943
2007/08/01,-0.0018,0.046,0.0467,18767
2007/09/01,0.0028,0.047,0.0452,18887
2007/10/01,0.0021,0.047,0.0453,19153
2007/11/01,0.0059,0.047,0.0414,19514
2007/12/01,-0.0007,0.05,0.041,19000
2008/01/01,0.005,0.05,0.0374,18651
2008/02/01,0.0029,0.049,0.0374,17400
2008/03/01,0.0087,0.051,0.0351,17985
2008/04/01,0.0061,0.05,0.0368,18677
2008/05/01,0.0084,0.054,0.0388,18621
2008/06/01,0.0101,0.056,0.041,18128
2008/07/01,0.0053,0.058,0.0401,18590
2008/08/01,-0.004,0.061,0.0388,18126
2008/09/01,-0.0014,0.061,0.0369,18546
2008/10/01,-0.0101,0.065,0.0382,19067
2008/11/01,-0.0192,0.068,0.0353,18998
2008/12/01,-0.0103,0.073,0.024,26453
2009/01/01,0.0044,0.078,0.0252,18177
2009/02/01,0.005,0.083,0.0287,16779
2009/03/01,0.0024,0.087,0.0282,18457
2009/04/01,0.0025,0.09,0.0294,17894
2009/05/01,0.0029,0.094,0.033,17772
2009/06/01,0.0086,0.095,0.0372,18637
2009/07/01,-0.0016,0.095,0.0356,18570
2009/08/01,0.0022,0.096,0.0359,18696
2009/09/01,0.0006,0.098,0.034,19164
2009/10/01,0.001,0.1,0.034,19740
2009/11/01,0.0007,0.099,0.034,22001
2009/12/01,-0.0018,0.099,0.036,29738
2010/01/01,0.0034,0.098,0.0373,19565
2010/02/01,0.0002,0.098,0.0369,18420
2010/03/01,0.0041,0.099,0.0373,21630
2010/04/01,0.0017,0.099,0.0385,20387
2010/05/01,0.0008,0.096,0.0342,20021
2010/06/01,-0.001,0.094,0.032,21027
2010/07/01,0.0002,0.094,0.0301,19875
